index,disease_name,supplement name,supplement image,buy link
0,Tomato___bacterial_spot,CUREAL Best Fungicide & Bactericide,https://m.media-amazon.com/images/I/81KYn6gko+L._SY500_.jpg,https://www.amazon.in/YK-Laboratories-Special-Fertilizer-Pesticide/dp/B08TMG84SR/ref=sr_1_15?dib=eyJ2IjoiMSJ9.NFkwHGOSzR35DDiepA-V98kJSA02LkE7poQYLeGqsSnGfrIQZXvnipC0UuhrwbfY_P0FLF44ksVDFwR2znuKtmRA67YDTrC0271kaZH9poKiOQc4_GEczOBS45qy2CmCVj4H8Vyr9cjrO1wlFftp9f0C68MNXCvJu2lKXgbSfOGUULIfZ5gx2_0JTx9E7ooM5AITBE3zvH3iyV3uAjEdg4MwKMwrq8z1eKxIG6DTNafomzxgU2wcAb6c5paenVFzJqn-Hn62AB_84JgGcUcBuwyUNY8Mu4rcJatnLRy5F-k.0ZzSWTEJXHWvzqPbtYFeIvZBliwdeCFbrstiqqAAoz0&dib_tag=se&keywords=CUREAL+Best+Fungicide+%26+Bactericide&qid=1712666617&sr=8-15
1,Tomato___Early_blight,NATIVO FUNGICIDE,https://m.media-amazon.com/images/I/719-AeQpVQL._SY879_.jpg,https://www.amazon.in/Bayer-Nativo-Systemic-Fungicide-250g/dp/B088GN6RQH/ref=sr_1_2?dib=eyJ2IjoiMSJ9.R-DIu05uLu4WCgpRHpguEQepDOaOgKDFxlBuaSNXeG4_39tjiTicpWh1waSNQIyMgyHUeEHNaE2rdN_NEXH97Bqch6uOwi4NuL-oUpRJbsh3VgBxa8491v92-GKrwnG5e68R-ty4mONLktvTvW-a_j2F6GPojIhKJq1YrevauUNt7R-C1upDlq7Hf4m9sINT3Sn-J8qidiz9JK3To2-QgeJPkkKjeaaGuD7mhRjGkHC7S6MsKXnmKLidCsE1rRGdbdO_egnfrQBhmTsnzc25e37_iOril6IJCSttKdmbS_8.DCgXynyvy1pWJ0f-CAR-9m0RC9GIy6goH-ru7dDXFbo&dib_tag=se&keywords=NATIVO+FUNGICIDE&qid=1712993313&sr=8-2
2,Tomato___Late_blight,ACROBAT FUNGICIDE,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQJAwTZ4dBBimSVLOgFYLNPRWpMh1eQ0RVm24I5U4FzfwBJTXBwARhpJzEYX112UX7zQdfPaow73ph6Kh9biTr5qX517DPEX396M6tbzGbkWuWh3EUVkEAsLg&usqp=CAE,https://www.bighaat.com/products/acrobat-fungicide
3,Tomato___Leaf_Mold,Virus Special (Set of Enviro Immuno & Cureal (1Litre+1Litre+500ML)),https://m.media-amazon.com/images/I/71OQ071E68L._SX679_.jpg,https://www.amazon.in/YK-Laboratories-Anti-Viral-Stimulator-Vegetables/dp/B08GYSVTGN/ref=sr_1_1?crid=35S4LUJHIG3KW&dib=eyJ2IjoiMSJ9.-T27Up2zETQNf9nlbjy8zau_TZaWveGtQ-M7WB7NGJWT-MgFm-9kXfRIgKvtNKnT5YUjMvsG7V2a1_YHBN1tH1q6MhckvPQGeKSTgPGsWWjZ7terDYBtxqEZf7pTqkOBKpIOncgFbWnycxtZcv387Q.xNHcc2JBAnSpaHPMmylHF0EGbHQzrGwn-jrZZ71IRnI&dib_tag=se&keywords=Set%2Bof%2BImmuno%2Band%2BEnviro%2B1&qid=1712667429&sprefix=set%2Bof%2Bimmuno%2Band%2Benviro%2B1%2B%2Caps%2C318&sr=8-1&th=1
4,Tomato___Septoria_leaf_spot,Roko Fungicide,https://m.media-amazon.com/images/I/51naG787H9L._SX522_.jpg, https://www.amazon.in/Biostad-Systemic-Fungicides-Thiophanate-Methyl/dp/B0BSBQFW4T/ref=sr_1_2?crid=1THEOSBQ2TM2P&dib=eyJ2IjoiMSJ9.kHXjdrzpyW390iesBNZ1_v9yEIEspDRqRP_xXT9IDpx-WXblTpL_Yy5zxVgz3HfdJEByc_LZ27xg74IU_1R3uHKy1E76cd48BqIzZ0AZLsr6d8x9UKgW-lKOses7E2PPvlR89oMZPagGJ7XpSa4HRd_gjg7IqugoX5jP6AvxcOAFxp29Oc9KPjIJQClgmE3WZTgEYOyFbu-UfCS8wEcq9aQvmDGVyMTGOX0hlSeN4inXCloFMFTGNmU9DI4zNXLgQiwG7KOXRao23vw6sM2cy6F7jS0rVJeHTeKB1sQFHGc.K_yzRTL13rvapzqEDiw-jr56stfD6x_sorpRBljPPVQ&dib_tag=se&keywords=Roko+Fungicide&qid=1713092740&sprefix=%2Caps%2C1334&sr=8-2
5,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTtkwMr-ebyIXA7F75Kgt3rSr_wil9WHjJQ_WNbHE9qTns42A99PfSbe-oIVpnlldgTsvr14wr9b45h5cEvQ4BnskFS9sz7VlKem6I9m2zctVhacrMtbBBseA&usqp=CAE,https://www.bighaat.com/products/omite-insecticide
6,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://m.media-amazon.com/images/I/51bwghTcMDL.jpg,"https://www.amazon.in/Katyayani-Propineb-Contact-Fungicide-Plants/dp/B09P1LWK94?th=1"
7,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://m.media-amazon.com/images/I/61phiV12x6L._SY500_.jpg,https://www.amazon.in/Syngenta-Amistar-Fungicide-100ml-Pack/dp/B09R34T27Q/ref=sr_1_2?crid=2GTVPB6NJZ8AB&dib=eyJ2IjoiMSJ9.DDMWc7RID3u5Z4lEvZlaHLqiaE-0x4FEikc6baenvPWsmIB4UNBQB-R5TFSnWSD1r-UQKVvL9HYheuudHY34fjzzAa2a12L3kRsLkBIwS5Av8f60LBWTQbWaJATNzcTcCPxwrMBoQErAVbxMOLu12wQeLMzdYu8Yd-6F8LuqIx9Gn6jsl1f-XmW0kqR7oCX3T2W-dOKaZHf85SqjpTAoFZOe01VV9Wiq7Q711cNOOPucMWTTYwpI7abCoj4Md5nJ1UKjhOLlskJS925Hyv183WS9G2b-AUtnrbQGrYWyyBU.LAPLr8CoaGk9raIpS6V_HlKquC-toKDE-PiTogUOK4k&dib_tag=se&keywords=Syngenta+Amistor+Top+Fungicide&qid=1712687146&sprefix=syngenta+amistor+top+fungicide%2Caps%2C582&sr=8-2
8,Tomato___Tomato_mosaic_virus,Vanproz V-Bind - Viricide,https://m.media-amazon.com/images/I/71Z2R5oF3AS._SY879_.jpg,https://www.amazon.in/Vanproz-V-Bind-Viricide-100Ml/dp/B0799PGVQK/ref=sr_1_2?crid=1SGHLMQ6B760Z&dib=eyJ2IjoiMSJ9.GpqEFbcOlxd5UPcN7-s3C-z5bw60ZdOfINP4KIvg7_2zrPhD9e0l9ojemYdp-PER6VmkLE5toj-zTsTfvQlN0JdldE75gytSTFiyQLW_MHruoBEybCNt1hZdO74OBG5nAIAshsDh8lR4-I6Uv21HraFqpkhJ7rqDyxtOJmM_2A_a5dDlLftjLpIoUzKVav7MrGk8AlGTMGUzeQLmmeQUiUCt7e99nqGEO1uxWSFpOq63ioRO6m7CKjaZx6HnXlM1.Ee7IA-jAKRVjuC5MGSzIM9eFjASIcoObxFFl1bHsUkk&dib_tag=se&keywords=vanproz&qid=1712687445&sprefix=vanproz%2Caps%2C320&sr=8-2
9,Tomato___healthy,Casa De Amor Essential Organic Tomato Fertilizer,https://m.media-amazon.com/images/I/71jLc2erJwL._SX679_.jpg,https://www.amazon.in/Casa-Amor-Fertilizer-Organic-Gardening/dp/B084G2DX9X/ref=sr_1_6?crid=T67XTO0T40ZA&dib=eyJ2IjoiMSJ9.ubqCvLCYp9rJkaIhfX8OGOBOvn5_Q3az8EHIl0dN5xgerYJWjLaTwAWFGK-R0UlJK3Omk3-5Ld1Az0Nn_WQ4udYg1I5iim2nZDjh6dD5sQItTcqDSSs8hkbpKuJrm4yvGOHI5nZRQVwfbAvCzJzEgMLBLVvy8jCHEkuZpRG4o2Ogz30GH15pPkdHTSCs1HFe5SMgR7vW5FHrIzzhDH7rdns9B41QoxDPjyrN38N08CQdV3yNpZMqJithCNhMe_GXFbbtJA6pX0wbwJ_PaJGBM8_PhVc4DDg9oPHHBeOljbk.r4p63zTTVRVmKtzQc6up9vBRrftbrClBKyPN0eCTY1k&dib_tag=se&keywords=Casa+De+Amor+Tomato+Fertilizer+Organic+for+Home%2C+Balcony%2C+Terrace+%26+Outdoor+Gardening&nsdOptOutParam=true&qid=1712687803&sprefix=casa+de+amor+tomato+fertilizer+organic+for+home%2C+balcony%2C+terrace+%26+outdoor+gardening%2Caps%2C515&sr=8-6
